id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
210,6603,CAPACITAC.Y DESARR.DE PERSONAL II,MARTINEZ PEREZ ADRIANA GUADALUPE,VIERNES,10:00,13:00,Edif C Salon 2
211,6604,INTEGRACION DE PERSONAL I,RODRIGUEZ RODRIGUEZ CLARA IVONNE,VIERNES,11:00,14:00,A 201
212,6608,ADMINISTRACION DE PERSONAL,VILLAVICENCIO CARRANZA MIGUEL ALEJANDRO,VIERNES,15:00,19:00,B 17
213,6702,APORTES DESDE EPISTEM. FEMINIST. PSIC.,PROFESOR PENDIENTE,VIERNES,11:00,14:00,A 307
214,6707,ETICA PROFESIONAL,CARRILLO URIBE ALEJANDRO,VIERNES,08:00,10:00,A 307
215,6707,APORTES DESDE EPISTEM. FEMINIST. PSIC.,COLMENARES VAZQUEZ LIGIA,VIERNES,10:00,13:00,A 108
216,6101,TALLER DE INVESTIGACION II,GARCIA CABRERO BENILDE,SABADO,08:00,16:00,AULA PENDIENTE
217,6102,TALLER DE INVESTIGACION II,ZAMORA AREVALO OSCAR,SABADO,08:00,16:00,AULA PENDIENTE
218,6103,TALLER DE INVESTIGACION II,ERAZO ÑAÑEZ LEYDY ALEEN VAZQUEZ LIRA RAMSES,SABADO,08:00,13:00,AULA PENDIENTE
219,6106,TALLER DE INVESTIGACION II,CANSINO ORTIZ CARMEN SELENE,SABADO,08:00,18:00,AULA PENDIENTE
220,6107,TALLER DE INVESTIGACION II,MENEZ DIAZ JUDITH MARINA,SABADO,08:00,18:00,AULA PENDIENTE
221,6108,TALLER DE INVESTIGACION II,ESCOBAR HERNANDEZ ROGELIO,SABADO,08:00,18:00,AULA PENDIENTE
222,6109,TALLER DE INVESTIGACION II,AVILA SANTIBANEZ RAUL,SABADO,08:00,18:00,AULA PENDIENTE
223,6110,TALLER DE INVESTIGACION II,ALVA CANTO ELDA ALICIA,SABADO,09:00,19:00,AULA PENDIENTE
224,6111,TALLER DE INVESTIGACION II,BOUZAS RIAÑO ARTURO,SABADO,08:00,18:00,AULA PENDIENTE
225,6201,"CONFLICTO, CONFORMIDAD Y CONSENSO",FALCON MANZANO DIEGO PROFESOR PENDIENTE,SABADO,09:00,16:00,A 303
226,6601,ADMINISTRACION DE PERSONAL,CASALES LEON ANGEL GABINO,SABADO,09:00,13:00,A 205
