id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
50,6106,DESAR.ACTUALS.EN COGNIC.COMPOR.II,SANCHEZ SOSA JUAN JOSE,MARTES,19:00,22:00,AULA PENDIENTE
51,6106,INVESTIGAC.Y ANALISIS DE DATOS II,MENEZ DIAZ JUDITH MARINA,MARTES,10:30,12:30,AULA PENDIENTE
52,6201,"CONFLICTO, CONFORMIDAD Y CONSENSO",FALCON MANZANO DIEGO PROFESOR PENDIENTE,MARTES,11:00,14:00,A 308
53,6202,FUENTES DE INFORMACION,ORTIZ HERNANDEZ CITLALI QUETZALLI,MARTES,09:00,12:00,A 107
54,6203,FUENTES DE INFORMACION,FLORES MORALES ROGELIO,MARTES,15:00,18:00,A 302
55,6204,ESTADISTICA INFERENC.EN PSICOLOGIA,DOMINGUEZ ESPINOSA ALEJANDRA DEL CARMEN,MARTES,17:00,20:00,A 208
56,6205,ESTADISTICA INFERENC.EN PSICOLOGIA,SOLER ANGUIANO FRANCISCO LEONARDO,MARTES,11:00,14:00,A 110
57,6301,PSICOFISIOLOGIA DEL SUE�O,AYALA GUERRERO FRUCTUOSO,MARTES,10:00,13:00,A 002
58,6301,PSICOFISIOLOGIA DE LA ATENCION,SOLIS VIVANCO RODOLFO,MARTES,14:00,17:00,AULA PENDIENTE
59,6302,EVALUACION NEUROPSICOLOGICA,GALAN LOPEZ ITZEL GRACIELA,MARTES,08:00,10:00,A 306
60,6302,TEMAS SELECTOS EN PSICOBIOLOGIA II,GONZALEZ SANTOYO ISAAC,MARTES,10:00,13:00,A 202
61,6303,PSICOFISIOLOGIA DE LA ATENCION,GALICIA CASTILLO OSCAR RICARDO,MARTES,19:30,21:00,A 104
62,6303,TECNICAS DE IMAGENOLOGIA CEREBRAL,MUÑOZ TORRES ZEIDY VANESSA,MARTES,15:30,19:30,A 002
63,6304,EVALUACION NEUROPSICOLOGICA,GALAN LOPEZ ITZEL GRACIELA,MARTES,12:00,14:00,A 211
64,6306,TEMAS SELECTOS EN PSICOBIOLOGIA II,CALIXTO GONZALEZ JAIME EDUARDO,MARTES,09:00,12:00,A 206
65,6401,TEORIA Y TECNICA DE LA ENTREVIS. II,MONDRAGON GOMEZ RAQUEL,MARTES,08:00,12:00,A 314
66,6402,PSICODIAGNOSTICO II,RUÍZ GONZÁLEZ VERÓNICA,MARTES,08:00,11:00,A 207
67,6403,TEORIA Y TECNICA DE LA ENTREVIS. II,SOMARRIBA ROCHA LAURA ANGELA,MARTES,09:00,11:00,A 101
68,6404,PSICODIAGNOSTICO II,CHAVEZ MURGUIA ALEJANDRA,MARTES,09:00,12:00,A 102
69,6404,TEORIA Y TECNICA DE LA ENTREVIS. II,VALENZUELA VALLEJO JORGE ALFONSO,MARTES,12:00,14:00,Edif C Salon 4
70,6405,PSICODIAGNOSTICO II,MONJARÁS RODRÍGUEZ MARÍA TERESA,MARTES,12:00,15:00,A 309
71,6405,TEORIA Y TECNICA DE LA ENTREVIS. II,RODRIGUEZ SERRANO AIDEE ELENA,MARTES,07:00,09:00,A 203
72,6406,PSICODIAGNOSTICO II,PEREZ AGUERO MARIA CRISTINA,MARTES,09:00,12:00,A 114
73,6407,PSICODIAGNOSTICO II,SOTO CRISTOBAL GABRIEL,MARTES,08:00,11:00,A 310
74,6411,PSICODIAGNOSTICO II,HERNANDEZ TREJO LAURA AMADA,MARTES,09:00,12:00,A 309
75,6412,PSICODINAMICA DE GRUPOS,PROFESOR PENDIENTE,MARTES,16:00,20:00,A 203
76,6413,PSICODIAGNOSTICO II,PADILLA MARQUEZ XOCHITL BERENICE,MARTES,16:00,19:00,A 110
