0,1,2,3,4,5,6,7,8,9,10
1403,NEUROCOGNICION,08:00 a 09:30A 203,,,08:00 a 09:30A 203,,,DEL RIO PORTILLA IRMA YOLANDA,,Sem_4_Area_9
1405,PSICOLOGIA SOCIAL DE LO COLECTIVO,,10:00 a 12:00A 303,,,09:00 a 12:00A 303,,DOMINGUEZ ZUÑIGA TANIA FABIOLA,,Sem_4_Area_9
1406,TEORIA SOCIOCULTURAL,,,09:30 a 12:30A 307,09:30 a 12:30A 203,,,CARLOS GUZMAN JOSE JESUS,,Sem_4_Area_9
Grupo6101,Sem_6_Area_1,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_1
1615,"APRENDIZAJE,MOTIVAC.Y  COGNIC.  II",08:00 a 11:00A 101,,,,10:00 a 12:00A 101,,BACHA MENDEZ GUSTAVO,TEMáTICA: COGNICIóN ANIMAL Y BIOéTICA; PRE-REQUISITOS: LECTURAS EN INGLéS.,Sem_6_Area_1
1616,DESAR.ACTUALS.EN COGNIC.COMPOR.II,,12:00 a 15:00A 310,,,,,VELAZQUEZ MARTINEZ DAVID NATHANAEL,TEMáTICA:VALOR DE REFORZAMIENTO Y ESFUERZO; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN.,Sem_6_Area_1
1618,TALLER DE INVESTIGACION II,11:00 a 13:00B 17,,,,,08:00 a 16:00AULA PENDIENTE,GARCIA CABRERO BENILDE,"TEMáTICA: REVISIóN DEL TEMA DE VIOLENCIA EN LA COMUNIDAD UNIVERSITARIA; PRE-REQUISITOS: CUBRIR EL HORARIO DE LOS LUNES Y 8 HORAS DE ACTIVIDADES EN ESCENARIO A LO LARGO DE LA SEMANA, HORARIO A ACORDAR CON LA PROFESORA.",Sem_6_Area_1
Grupo6201,Sem_6_Area_2,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_2
1610,"CONFLICTO, CONFORMIDAD Y CONSENSO",,11:00 a 14:00A 308,,,,09:00 a 16:00A 303,FALCON MANZANO DIEGOPROFESOR PENDIENTE,"LA TEORíA SE IMPARTIRá POR LA DRA. GABRIELA CEJA. LA PRáCTICA ES LOS SáBADOS EN LA COLONIA PEDREGAL DE SANTA ÚRSULA COAPA CON PERSONAS TRANSEXUALES, PERSONAL ALCOHóLICAS, PERSONAS QUE MATERNAN Y RELIGIOSIDADES URBANAS.",Sem_6_Area_2
1611,ESTADISTICA INFERENC.EN PSICOLOGIA,,,,,12:00 a 15:00A 302,,VALENCIA CAMARGO MARIA FERNANDA,,Sem_6_Area_2
1612,FUENTES DE INFORMACION,08:00 a 11:00A 302,,,,,,FLORES MORALES ROGELIO,,Sem_6_Area_2
1613,INVESTIGACION SOCIAL,,,07:00 a 10:00A 107,,,,JURADO CARDENAS RAUL,,Sem_6_Area_2
1614,PSICOLOGIA DE LA VIDA COTIDIANA,,,11:00 a 14:00A 302,,,,SOTO RAMIREZ JUAN,,Sem_6_Area_2
Grupo6301,Sem_6_Area_3,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_3
1630,EVALUACION NEUROPSICOLOGICA,11:00 a 13:00A 201,,10:00 a 12:00A 204,,,,RAMIREZ FLORES MAURA JAZMIN,,Sem_6_Area_3
1631,PSICOFISIOLOGIA DEL SUE�O,,10:00 a 13:00A 002,,,,,AYALA GUERRERO FRUCTUOSO,,Sem_6_Area_3
1632,PSICOFISIOLOGIA DE LA ATENCION,,14:00 a 17:00AULA PENDIENTE,,,,,SOLIS VIVANCO RODOLFO,LAS PRIMERAS CLASES SE IMPARTEN EN LA FACULTAD Y DESPUES EN EL INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA (INNN),Sem_6_Area_3
1634,TEMAS SELECTOS EN PSICOBIOLOGIA II,,,,09:00 a 12:00A 002,,,GUTIERREZ OSPINA GABRIEL,TEMA: BASES BIOLóGICAS DE LA CONDUCTA SEXUAL,Sem_6_Area_3
1635,TECNICAS DE IMAGENOLOGIA CEREBRAL,,,,,12:00 a 16:00A 003,,MUÑOZ DELGADO JAIRO IGNACIO,,Sem_6_Area_3
1636,PSICOFARMACOLOGIA Y ADICCION,13:00 a 14:30A 107,,,12:00 a 13:30A 207,,,RAMOS LANGUREN LAURA ELISA,,Sem_6_Area_3
Grupo6401,Sem_6_Area_4,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_4
1620,PSICODIAGNOSTICO II,08:00 a 11:00A 201,,08:00 a 11:00A 301,,,,BECERRIL PEREZ MARIA SANTOS,"PRáCTICA SUPERVISADA LOS MIéRCOLES EN EL COLEGIO AGUSTíN GARCíA CONDE, TLALPAN (INICIA A MITAD DEL SEMESTRE).",Sem_6_Area_4
1622,TEORIA Y TECNICA DE LA ENTREVIS. II,,08:00 a 12:00A 314,,,,,MONDRAGON GOMEZ RAQUEL,,Sem_6_Area_4
Grupo6501,Sem_6_Area_5,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_5
1626,INVESTIG.CUANTITATIVA EN EDUCACION,,,10:00 a 13:00A 203,,,,ALATORRE RICO JAVIER,,Sem_6_Area_5
1627,INVESTIGACION EN EDUCACION,,09:00 a 14:00A 201,,09:00 a 14:00A 201,,,ALATORRE RICO JAVIER,LAS PRIMERAS SEMANAS SE IMPARTIRá LA ASIGNATURA EN LA FACULTAD; POSTERIORMENTE SE ACUDIRá A ESCENARIO.,Sem_6_Area_5
Grupo6601,Sem_6_Area_6,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_6
1623,ADMINISTRACION DE PERSONAL,,,,,,09:00 a 13:00A 205,CASALES LEON ANGEL GABINO,,Sem_6_Area_6
1625,INTEGRACION DE PERSONAL I,09:00 a 12:00A 301,,09:00 a 12:00A 207,,,,PACHECO LAPIEDRA ROSA,,Sem_6_Area_6
Grupo6701,Sem_6_Area_7,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_7
1600,ETICA PROFESIONAL,09:00 a 11:00A 206,,,,,,CABRERA ZAMORA INGRID MARISSA,,Sem_6_Area_7
8001,APORTES DESDE EPISTEM. FEMINIST. PSIC.,11:00 a 14:00A 206,,,,,,CHAVARRIA LUNA SALVADOR,,Sem_6_Area_7
Grupo6101,Sem_6_Area_9,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_6_Area_9
1615,"APRENDIZAJE,MOTIVAC.Y  COGNIC.  II",08:00 a 11:00A 101,,,,10:00 a 12:00A 101,,BACHA MENDEZ GUSTAVO,TEMáTICA: COGNICIóN ANIMAL Y BIOéTICA; PRE-REQUISITOS: LECTURAS EN INGLéS.,Sem_6_Area_9
1616,DESAR.ACTUALS.EN COGNIC.COMPOR.II,,12:00 a 15:00A 310,,,,,VELAZQUEZ MARTINEZ DAVID NATHANAEL,TEMáTICA:VALOR DE REFORZAMIENTO Y ESFUERZO; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN.,Sem_6_Area_9
1618,TALLER DE INVESTIGACION II,11:00 a 13:00B 17,,,,,08:00 a 16:00AULA PENDIENTE,GARCIA CABRERO BENILDE,"TEMáTICA: REVISIóN DEL TEMA DE VIOLENCIA EN LA COMUNIDAD UNIVERSITARIA; PRE-REQUISITOS: CUBRIR EL HORARIO DE LOS LUNES Y 8 HORAS DE ACTIVIDADES EN ESCENARIO A LO LARGO DE LA SEMANA, HORARIO A ACORDAR CON LA PROFESORA.",Sem_6_Area_9
Grupo8101,Sem_8_Area_1,,,,,,,,,
CLAVE,ASIGNATURA,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,PROFESOR,OBSERVACIONES,Sem_8_Area_1
1816,"MODELOS DE APRENDIZ,MOTIV.COGNIC.I",,,,,10:00 a 13:00A 311,,PROFESOR PENDIENTE,"TEMáTICA: ECONOMIA CONDUCTUAL, TEORIAS Y APLICACIONES; PRE-REQUISITOS; LECTURA EN INGLéS, LA CLASE LA IMPARTIRA LA PROFESORA CLARA MUñOZ MáRQUEZ",Sem_8_Area_1
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,,08:00 a 15:00AULA PENDIENTE,,,,10:00 a 13:00AULA PENDIENTE,ROJAS RAMIREZ SYLVIA MARGARITA,"TEMáTICA: INVESTIGACIóN EN PROCESOS DE INTERACCIóN SOCIAL, DIáLOGO Y SOLUCIóN COLABORATIVA DE PROBLEMAS ENTRE EDUCANDOS DE PRIMARIA EN ESCENARIOS EDUCATIVOS; PRE-REQUISITOS: HABER CURSADO DACC L, LL O LLL, CON LA DRA. ROJAS EN LOS SEM ANTERIORES.",Sem_8_Area_1
